,a,0.00,0.05,0.10,0.30,0.60
156,2.0822,0.000319575321848,-1.4761723663e-05,1.2356889596e-06,-7.05812656245e-05,-0.00014043453175
157,2.0876,0.000321651588366,-1.31883995627e-05,4.23521093484e-06,-7.10392953995e-05,-0.000141346228996
158,2.093,0.00032373592925,-1.15964062135e-05,4.26303805456e-06,-6.28701835494e-05,-0.000142261464476
159,2.0983,0.0003257895328,-9.9845182997e-06,7.31296251022e-06,-6.32684845412e-05,-0.000143163196079
160,2.1037,0.000327889903772,-1.00484727259e-05,7.36049192085e-06,-5.49599741348e-05,-0.000144085455866
161,2.1091,0.000329998380252,-8.40856662299e-06,1.04624378152e-05,-5.53128791312e-05,-0.000145011267359
162,2.1145,0.000332114972656,-6.7497996139e-06,1.05299261159e-05,-5.56671372811e-05,-0.00014594063507
163,2.1199,0.000334239691389,-5.07213134959e-06,1.36835972877e-05,-4.71651627847e-05,-0.000146873563502
164,2.1252,0.000336332975508,-3.37513296111e-06,1.37696709643e-05,-4.74600545974e-05,-0.000147792682247
165,2.1306,0.000338473827091,-3.39619808631e-06,1.69749081835e-05,-3.88221147132e-05,-0.00014873267945
166,2.136,0.000340622835944,-1.66986656591e-06,1.70830666519e-05,-3.90681073261e-05,-0.000149676250761
167,2.1414,0.000342780012418,7.55457585377e-08,2.03404439296e-05,-3.93150298637e-05,-0.000150623400657
168,2.1468,0.000344945366856,7.64442673606e-08,2.04693181036e-05,-3.04862142944e-05,-0.000151574133609
169,2.1521,0.000347078584313,1.8518681002e-06,2.37762636544e-05,-3.06742709766e-05,-0.000152510748855
170,2.1575,0.000349260173719,3.64652501128e-06,2.39260938786e-05,-3.08665871089e-05,-0.000153468594757
171,2.1629,0.000351449971838,5.46043283789e-06,2.72879549961e-05,-2.18491733577e-05,-0.000154430037014
172,2.1683,0.000353647988953,5.49500678382e-06,2.74590001887e-05,-2.19853433241e-05,-0.00015539508008
173,2.1737,0.000355854235344,7.33955013388e-06,3.08735681052e-05,-2.21220183363e-05,-0.000156363728392
174,2.1791,0.00035806872127,9.20347450606e-06,3.1066077061e-05,-2.22591989814e-05,-0.000157335986394
175,2.1844,0.000360250220176,9.25996403467e-06,3.12557220941e-05,-1.2994615938e-05,-0.000158293753937
176,2.1898,0.000362481062858,1.11546074857e-05,3.47437722916e-05,-1.30746117648e-05,-0.000159273177549
177,2.1952,0.000364720175598,1.30687562128e-05,3.49587758302e-05,-1.31548994844e-05,-0.000160256224046
178,2.2006,0.00036696756861,1.31497140221e-05,3.85000401626e-05,-1.32354793942e-05,-0.000161242897841
179,2.206,0.000369223252096,1.50950852076e-05,3.87370774328e-05,-3.72799526538e-06,-0.000162233203343
180,2.2113,0.00037144523511,1.70581455792e-05,4.23269198171e-05,-3.74997102748e-06,-0.00016320870556
181,2.2167,0.000373717376095,1.71629216363e-05,4.2586218779e-05,-3.77243831284e-06,-0.000164206220224
182,2.2221,0.000375997837887,1.91592071768e-05,4.28464710698e-05,-3.79498327874e-06,-0.000165207379708
183,2.2275,0.000378286630641,1.92762676741e-05,4.65157970471e-05,5.95635700096e-06,-0.000166212188398
184,2.2329,0.000380583764493,2.13042525483e-05,4.67986491075e-05,5.99298928927e-06,-0.000167220650676
185,2.2383,0.000382889249574,2.33520651602e-05,5.05217985993e-05,6.0297592519e-06,-0.000168232770918
