,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
112,112,0.70442117558,2.05033822693,31.88879318,1.62273211745,0.974885546838,3.11354667483,2.13138485359,0.490052413443,0.99237189863,3.14642550389,1.0,616.374708127,1.11318707168,0,0.0828051074349
113,113,0.710710650362,2.05101126723,31.8789938774,1.62313188328,0.975205560993,3.11123278075,2.13649675748,0.490210237991,0.992429927395,3.14644318818,1.0,616.375181029,1.10585694953,0,0.082504030704
114,114,0.717000125144,2.05168969025,31.8691196637,1.62352995457,0.975528134504,3.10890017619,2.14161160147,0.490369322782,0.992488174244,3.14646027622,1.0,616.375657398,1.09857505847,0,0.0822005460801
115,115,0.723289599926,2.05237347939,31.85917086,1.62392631687,0.97585325947,3.10654891136,2.14672941586,0.490529663871,0.992546632165,3.14647676622,1.0,616.376137217,1.09133915751,0,0.081894660982
116,116,0.729579074708,2.05306261785,31.8491477902,1.62432095572,0.976180927907,3.10417903699,2.15185023111,0.490691257274,0.992605294124,3.14649265646,1.0,616.376620465,1.08414715231,0,0.0815863829284
117,117,0.73586854949,2.05375708866,31.8390507807,1.62471385669,0.976511131747,3.10179060428,2.15697407777,0.490854098965,0.992664153059,3.14650794532,1.0,616.377107124,1.07699708258,0,0.0812757195114
118,118,0.742158024271,2.05445687468,31.8288801609,1.62510500537,0.976843862837,3.0993836649,2.16210098651,0.491018184874,0.992723201891,3.14652263125,1.0,616.377597175,1.06988711074,0,0.0809626783955
119,119,0.748447499053,2.05516195859,31.8186362626,1.62549438737,0.977179112942,3.09695827104,2.16723098814,0.491183510893,0.992782433515,3.14653671277,1.0,616.378090598,1.06281551184,0,0.0806472673288
120,120,0.754736973835,2.05587232288,31.8083194204,1.62588198833,0.97751687374,3.09451447535,2.17236411356,0.491350072869,0.992841840809,3.14655018851,1.0,616.378587373,1.05578066444,0,0.0803294941472
121,121,0.761026448617,2.05658794987,31.7979299717,1.62626779387,0.977857136826,3.09205233099,2.17750039382,0.49151786661,0.99290141663,3.14656305716,1.0,616.379087481,1.04878104249,0,0.0800093667608
122,122,0.767315923399,2.05730882172,31.7874682565,1.62665178967,0.978199893709,3.08957189161,2.18263986009,0.491686887878,0.992961153816,3.1465753175,1.0,616.379590903,1.04181520792,0,0.079686893143
123,123,0.773605398181,2.05803492037,31.7769346174,1.62703396142,0.978545135812,3.08707321134,2.18778254364,0.491857132397,0.993021045188,3.14658696838,1.0,616.380097617,1.03488180398,0,0.0793620813813
124,124,0.779894872963,2.05876622762,31.7663293998,1.62741429482,0.978892854474,3.08455634481,2.1929284759,0.492028595845,0.99308108355,3.14659800877,1.0,616.380607605,1.02797954921,0,0.0790349396109
125,125,0.786184347745,2.05950272506,31.7556529516,1.62779277559,0.979243040945,3.08202134717,2.19807768839,0.49220127386,0.99314126169,3.14660843768,1.0,616.381120846,1.02110723196,0,0.0787054760703
126,126,0.792473822527,2.06024439412,31.7449056236,1.62816938949,0.979595686392,3.07946827402,2.2032302128,0.492375162035,0.993201572381,3.14661825423,1.0,616.381637319,1.0142637054,0,0.0783736990637
127,127,0.798763297309,2.06099121602,31.7340877691,1.62854412228,0.979950781892,3.07689718151,2.20838608092,0.492550255922,0.993262008383,3.14662745761,1.0,616.382157005,1.00744788296,0,0.0780396169976
128,128,0.805052772091,2.06174317183,31.7231997441,1.62891695976,0.980308318437,3.07430812624,2.21354532467,0.49272655103,0.993322562442,3.1466360471,1.0,616.382679882,1.00065873424,0,0.0777032383339
129,129,0.811342246873,2.06250024241,31.7122419072,1.62928788772,0.980668286932,3.07170116535,2.21870797612,0.492904042822,0.993383227293,3.14664402206,1.0,616.383205931,0.993895281128,0,0.0773645716395
130,130,0.817631721655,2.06326240845,31.7012146198,1.62965689202,0.981030678192,3.06907635646,2.22387406746,0.493082726722,0.993443995657,3.14665138194,1.0,616.383735129,0.987156594405,0,0.0770236255493
131,131,0.823921196437,2.06402965045,31.6901182457,1.6300239585,0.981395482946,3.06643375771,2.22904363101,0.493262598107,0.993504860247,3.14665812627,1.0,616.384267457,0.980441790515,0,0.0766804087873
132,132,0.830210671219,2.06480194872,31.6789531516,1.63038907305,0.981762691834,3.06377342773,2.23421669923,0.493443652312,0.993565813768,3.14666425466,1.0,616.384802893,0.973750028649,0,0.0763349301632
133,133,0.836500146001,2.06557928339,31.6677197067,1.63075222157,0.982132295408,3.06109542567,2.23939330472,0.493625884628,0.993626848913,3.1466697668,1.0,616.385341415,0.967080508048,0,0.0759871985654
134,134,0.842789620783,2.06636163441,31.6564182827,1.63111338999,0.982504284129,3.05839981118,2.24457348021,0.493809290301,0.993687958372,3.1466746625,1.0,616.385883004,0.960432465517,0,0.0756372229582
135,135,0.849079095565,2.06714898153,31.6450492542,1.63147256427,0.982878648372,3.05568664442,2.24975725858,0.493993864536,0.993749134824,3.14667894159,1.0,616.386427637,0.953805173137,0,0.075285012403
136,136,0.855368570347,2.0679413043,31.6336129982,1.63182973037,0.983255378421,3.05295598606,2.25494467283,0.494179602491,0.993810370945,3.14668260405,1.0,616.386975292,0.947197936145,0,0.0749305760544
