,vfr,0.00,0.05,0.10,0.30,0.60
182,0.9829,3.86801208332e-08,2.41097823923e-08,1.98019665668e-08,1.91330833596e-08,1.86719861449e-08
183,0.9839,3.64048196157e-08,2.36802058027e-08,1.90730401586e-08,1.7960327412e-08,1.79905315478e-08
184,0.9849,3.41295183443e-08,2.33066286307e-08,1.84075340231e-08,1.67782407734e-08,1.73206395042e-08
185,0.9859,3.18542171613e-08,2.29875261892e-08,1.78033919603e-08,1.56041994658e-08,1.67124933255e-08
186,0.9869,2.95789159216e-08,2.27264314733e-08,1.72651814331e-08,1.44280503442e-08,1.6157759326e-08
187,0.9879,2.73036147006e-08,2.25314072988e-08,1.67967977466e-08,1.32510345338e-08,1.55723929544e-08
188,0.9889,2.50283135033e-08,2.24070636891e-08,1.63974638962e-08,1.2076826672e-08,1.50649696407e-08
189,0.9899,2.27530122296e-08,2.23481565436e-08,1.60866181593e-08,1.08942963071e-08,1.45967212048e-08
190,0.991,2.04777109732e-08,2.23688882811e-08,1.58587928044e-08,9.69839319832e-09,1.40227830328e-08
191,0.992,1.82024097407e-08,2.24698020542e-08,1.57272023117e-08,8.51257414599e-09,1.36010835966e-08
192,0.993,1.59271085423e-08,2.26585231267e-08,1.56942369831e-08,7.33257171769e-09,1.31194525878e-08
193,0.994,1.3651807395e-08,2.29471246204e-08,1.5776549399e-08,6.17236637781e-09,1.26604098182e-08
194,0.995,1.13765061148e-08,2.3334193263e-08,1.59779415754e-08,5.05226832063e-09,1.21660108368e-08
195,0.996,9.10120487033e-09,2.38429751486e-08,1.63150962615e-08,4.00268712237e-09,1.16515941268e-08
196,0.997,6.82590369752e-09,2.44708568085e-08,1.6813905422e-08,3.06079759962e-09,1.10474986862e-08
197,0.998,4.55060270382e-09,2.52381665519e-08,1.75056719944e-08,2.3045802243e-09,1.03951138222e-08
198,0.999,2.27530135188e-09,2.62062021979e-08,1.84330502915e-08,1.90001512099e-09,9.58248417069e-09
199,1.0,,,,,
