,a,0.00,0.05,0.10,0.30,0.60
184,2.2329,0.0,9.42738850366e-08,1.0043029491e-07,1.25602280532e-07,1.97681135081e-07
185,2.2383,0.0,9.37167711831e-08,9.90939882167e-08,1.26210000196e-07,1.98637603528e-07
186,2.2436,0.0,9.41628247956e-08,9.95656352515e-08,1.26810708293e-07,1.99583036684e-07
187,2.249,0.0,9.35993070757e-08,1.00045074545e-07,1.22051320738e-07,2.00544089682e-07
188,2.2544,0.0,9.30332047356e-08,9.86939562072e-08,1.22637623844e-07,2.01507450984e-07
189,2.2598,0.0,9.3479041462e-08,9.91669206217e-08,1.23225331777e-07,2.02473120594e-07
190,2.2652,0.0,9.29066526363e-08,9.78088979723e-08,1.23814444552e-07,2.03441098512e-07
191,2.2705,0.0,9.33435926421e-08,9.82688932965e-08,1.24396743877e-07,2.04397881143e-07
192,2.2759,0.0,9.27650539163e-08,9.87364751484e-08,1.19583378702e-07,2.05370443616e-07
193,2.2813,0.0,9.32053997789e-08,9.73644605976e-08,1.2015102831e-07,2.0634531439e-07
194,2.2867,0.0,9.26207435528e-08,9.78255450613e-08,1.20720021981e-07,2.07322493474e-07
195,2.2921,0.0,9.20338536364e-08,9.8287718708e-08,1.21290359765e-07,2.08301980863e-07
196,2.2974,0.0,9.24616028833e-08,9.68957007369e-08,1.21854085548e-07,2.09270112962e-07
197,2.3028,0.0,9.18688257676e-08,9.73513436679e-08,1.16993679975e-07,2.10254184902e-07
198,2.3082,0.0,9.22998168851e-08,9.78080553871e-08,1.17542541189e-07,2.1124056515e-07
199,2.3136,0.0,9.17011881835e-08,9.64092212128e-08,1.18092686858e-07,2.12229253702e-07
